movieId,movieIdx
1,0
3,1
4,2
5,3
7,4
8,5
9,6
10,7
11,8
17,9
19,10
23,11
27,12
29,13
30,14
31,15
32,16
33,17
34,18
35,19
36,20
37,21
39,22
40,23
41,24
42,25
43,26
44,27
45,28
46,29
47,30
48,31
49,32
50,33
52,34
53,35
54,36
55,37
57,38
58,39
60,40
61,41
62,42
69,43
70,44
72,45
75,46
76,47
77,48
78,49
79,50
84,51
86,52
87,53
88,54
91,55
92,56
94,57
95,58
97,59
99,60
101,61
102,62
103,63
104,64
106,65
107,66
108,67
109,68
110,69
112,70
113,71
114,72
118,73
119,74
120,75
123,76
124,77
125,78
126,79
127,80
129,81
130,82
131,83
133,84
137,85
140,86
142,87
143,88
147,89
151,90
152,91
154,92
155,93
157,94
159,95
160,96
161,97
162,98
163,99
164,100
165,101
166,102
168,103
171,104
172,105
174,106
178,107
181,108
183,109
184,110
188,111
190,112
191,113
193,114
194,115
196,116
197,117
198,118
202,119
206,120
207,121
208,122
209,123
211,124
212,125
215,126
219,127
220,128
221,129
223,130
224,131
225,132
227,133
228,134
230,135
235,136
236,137
237,138
238,139
239,140
241,141
242,142
251,143
252,144
254,145
256,146
257,147
260,148
263,149
264,150
265,151
266,152
267,153
268,154
269,155
270,156
271,157
274,158
275,159
277,160
278,161
281,162
282,163
283,164
284,165
286,166
288,167
290,168
292,169
295,170
296,171
299,172
302,173
304,174
305,175
309,176
310,177
312,178
313,179
315,180
316,181
317,182
318,183
320,184
324,185
325,186
328,187
329,188
330,189
331,190
333,191
334,192
337,193
339,194
341,195
342,196
344,197
346,198
347,199
349,200
351,201
352,202
353,203
354,204
355,205
356,206
357,207
358,208
360,209
361,210
362,211
364,212
365,213
366,214
367,215
368,216
369,217
370,218
371,219
372,220
373,221
374,222
375,223
376,224
378,225
379,226
380,227
382,228
384,229
390,230
395,231
396,232
397,233
400,234
402,235
405,236
406,237
407,238
408,239
410,240
411,241
412,242
413,243
414,244
415,245
416,246
417,247
418,248
419,249
420,250
421,251
422,252
423,253
424,254
426,255
428,256
431,257
432,258
434,259
436,260
438,261
442,262
443,263
444,264
446,265
447,266
448,267
449,268
450,269
451,270
453,271
454,272
456,273
457,274
458,275
459,276
460,277
461,278
463,279
464,280
465,281
466,282
467,283
468,284
471,285
472,286
473,287
474,288
477,289
479,290
481,291
484,292
485,293
486,294
487,295
491,296
493,297
494,298
495,299
496,300
498,301
499,302
500,303
505,304
507,305
509,306
511,307
512,308
513,309
514,310
515,311
516,312
517,313
518,314
519,315
520,316
522,317
523,318
524,319
527,320
528,321
529,322
532,323
536,324
537,325
538,326
540,327
544,328
547,329
549,330
550,331
551,332
552,333
554,334
555,335
556,336
560,337
563,338
564,339
565,340
568,341
569,342
570,343
572,344
575,345
576,346
578,347
581,348
582,349
585,350
589,351
597,352
598,353
599,354
602,355
605,356
606,357
607,358
609,359
610,360
611,361
613,362
614,363
618,364
621,365
624,366
626,367
627,368
628,369
630,370
648,371
649,372
651,373
654,374
656,375
660,376
661,377
666,378
671,379
672,380
673,381
674,382
677,383
680,384
685,385
686,386
688,387
689,388
691,389
695,390
696,391
697,392
698,393
705,394
706,395
709,396
713,397
714,398
715,399
718,400
719,401
722,402
724,403
725,404
726,405
728,406
731,407
733,408
735,409
736,410
737,411
741,412
743,413
745,414
747,415
748,416
750,417
751,418
752,419
753,420
754,421
755,422
756,423
757,424
758,425
760,426
761,427
764,428
769,429
770,430
771,431
773,432
774,433
775,434
777,435
779,436
781,437
782,438
785,439
787,440
788,441
789,442
792,443
795,444
798,445
799,446
800,447
802,448
804,449
805,450
806,451
810,452
812,453
813,454
818,455
822,456
826,457
828,458
829,459
831,460
832,461
834,462
835,463
836,464
839,465
841,466
842,467
845,468
846,469
847,470
851,471
852,472
857,473
858,474
859,475
863,476
865,477
866,478
867,479
869,480
870,481
872,482
874,483
875,484
878,485
879,486
880,487
881,488
882,489
884,490
885,491
886,492
887,493
890,494
893,495
896,496
899,497
